subject,stimulus_index,stimulus_label,root_area_id,node,n_neurons,n_frames,n_windows,FCV_raw,FCS_raw,FCV_z,FCS_z
18,10,OMR forward,38,rMOS1,1356,192,35,0.08327113071853998,0.8347500720890294,-0.5460540330002481,0.4913535807547697
18,10,OMR forward,39,rMOS2,421,192,35,0.0901447054402709,0.8250101437364551,-0.47884534741215856,0.45024172876730667
18,10,OMR forward,40,rMOS3,1156,192,35,0.08724999128444538,0.8372595459189626,-0.5071493873684271,0.501945970444716
18,10,OMR forward,41,rMOS4,975,192,35,0.08288955647845682,0.8376048300407424,-0.5497850032985975,0.5034034010534824
18,10,OMR forward,42,rMOS5,1240,192,35,0.09774920234171001,0.8227334970166806,-0.4044898247045041,0.4406320930920738
18,10,OMR forward,43,rIPN,111,192,35,0.1006512460943155,0.818439607535198,-0.37611411715380105,0.42250775557920256
18,10,OMR forward,44,rIO,38,192,35,0.36649376585009114,0.059903678729443355,2.2232504128810335,-2.779242370641456
18,10,OMR forward,45,rHc,75,192,35,0.08867449375132226,0.8288434940902059,-0.49322083602626937,0.4664221488540558
18,10,OMR forward,46,rRa,192,192,35,0.1206613913755812,0.7912536616778564,-0.18045820051281405,0.3077569543650637
18,10,OMR forward,47,rT,979,192,35,0.0802551333174166,0.8423464351567832,-0.5755439606249166,0.5234175285354515
18,10,OMR forward,48,raRF,507,192,35,0.09221399231984347,0.8315345867934982,-0.4586121998999817,0.47778114461844007
18,10,OMR forward,49,rimRF,522,192,35,0.08573723157461566,0.8301134759897738,-0.521940903548042,0.4717826921755059
18,10,OMR forward,50,rpRF,834,192,35,0.08733861940490467,0.8298513978120107,-0.5062827961515775,0.4706764705624389
18,10,OMR forward,52,rHb,229,192,35,0.10937802244235298,0.8111450275747463,-0.2907851301976325,0.3917176223473149
18,10,OMR forward,53,rHi,511,192,35,0.08331141531335484,0.8389957723904492,-0.5456601368433625,0.5092745136463308
18,10,OMR forward,54,rHR,80,192,35,0.09659779218524372,0.8234189126191391,-0.415748124253387,0.4435252052155037
18,10,OMR forward,55,rOG,16,192,35,0.1886904712073983,0.6170405075263256,0.48471897764584154,-0.4275898724782573
18,10,OMR forward,56,rOB,19,192,35,0.521680510379966,-0.05192019488544101,3.7406409327764885,-3.2512465142350595
18,10,OMR forward,57,rOE,0,192,35,,,,
18,10,OMR forward,58,rP,892,192,35,0.11711229566179786,0.8107114803053228,-0.2151606759504614,0.3898876364865467
18,10,OMR forward,60,rPT,335,192,35,0.09722894397451841,0.8240317259053105,-0.40957682563789155,0.4461118658360994
18,10,OMR forward,61,rPO,477,192,35,0.09218944477612104,0.8146381215870196,-0.4588522217539356,0.4064618338869121
18,10,OMR forward,62,rPrT,414,192,35,0.08804005142520777,0.8352482258157471,-0.49942430897096557,0.49345626791410674
18,10,OMR forward,64,rSP,564,192,35,0.09565323824400454,0.8299174578979001,-0.42498381767751386,0.47095530756976095
18,10,OMR forward,65,rTeO,5927,192,35,0.1577690063083754,0.7658892395488278,0.18237396846868922,0.20069473269681673
18,10,OMR forward,66,rTh,1070,192,35,0.09811576695709827,0.8277834273342355,-0.4009056160531513,0.46194764904351404
18,10,OMR forward,67,rTL,69,192,35,0.144529332540199,0.7286684022441202,0.05291861116224138,0.04358705194923331
18,10,OMR forward,68,rTS,217,192,35,0.15273648513919694,0.7073206114251995,0.13316680237716438,-0.04652112797129175
18,10,OMR forward,69,rTG,17,192,35,0.17106924776006388,0.2778679676108416,0.31242154664459143,-1.8592237361433632
18,10,OMR forward,70,rVR,65,192,35,0.09636973614468534,0.8188604022820065,-0.41797801879107127,0.424283913546866
18,10,OMR forward,71,rNX,710,192,35,0.09130711890684405,0.8240081811195314,-0.46747945930283386,0.44601248422742784
18,11,OMR rightward,0,MON,778,192,35,0.36310547932688586,0.057807033119451914,0.6165843828582811,-0.6435403041075096
18,11,OMR rightward,1,Cb,1910,192,35,0.3591043078838017,0.02211661547860269,0.5276762441149997,-0.9407245628016675
18,11,OMR rightward,2,MOS1,1293,192,35,0.31446020617336923,0.2699480540752909,-0.46433923070323824,1.1228994357072781
18,11,OMR rightward,3,MOS2,520,192,35,0.31959096641993473,0.2424207392395656,-0.35033103326680454,0.893687081410461
