epsilon,run,layer,fc_state_mean,fc_state_std,fc_state_width_p95_p05,fcv_from_fc_state
0.5,49,Layer 1,0.8299339611880102,0.1837632154049421,0.5041908152396517,0.18321873060693822
0.5,49,Layer 4,0.9224469409889817,0.08147994454779485,0.24093440426274715,0.08123852195921688
1.0,0,Layer 1,-0.0616725256999518,0.5376791900502519,1.4650192218905458,0.5360860630224065
1.0,0,Layer 4,0.592915668019467,0.17809599041187152,0.49551613652645154,0.17756829742853417
1.0,1,Layer 1,0.610565492067275,0.2468444306244596,0.711736992782605,0.2461130381112694
1.0,1,Layer 4,0.545273398130122,0.3334598817908668,0.9322163265882369,0.33247185033974536
1.0,2,Layer 1,0.5247568373516162,0.403272944901428,1.0920372956036417,0.4020780594753038
1.0,2,Layer 4,0.7069712116902633,0.25726766970158876,0.6937879864678367,0.2565053934491749
1.0,3,Layer 1,0.4912922272743417,0.4069404655610807,1.1304312754411268,0.4057347133831905
1.0,3,Layer 4,0.6618720021447191,0.29135883932092976,0.8313693235039119,0.2904955519735424
1.0,4,Layer 1,-0.216055788676599,0.41970911282721945,1.231633901723221,0.41846552753723354
1.0,4,Layer 4,0.27226556928278417,0.2977023903595054,0.8931721747092687,0.29682030726402314
1.0,5,Layer 1,-0.21402304231342062,0.44695138079356,1.2814751552814987,0.4456270774951406
1.0,5,Layer 4,0.4778797476860396,0.16531974773397298,0.49792138074755343,0.1648299103677045
1.0,6,Layer 1,-0.14481290723080223,0.16731093446080839,0.5142283668368548,0.16681519726904778
1.0,6,Layer 4,-0.13917241752682416,0.19053585883758548,0.6074865320393684,0.1899713069038208
1.0,7,Layer 1,0.4287448917892052,0.41967433023497297,1.160624062072702,0.41843084800474617
1.0,7,Layer 4,0.7308715783739336,0.20322416261447004,0.5599785269853623,0.20262201562391582
1.0,8,Layer 1,0.506484149994301,0.42423744825498244,1.2203215642182617,0.42298044564534815
1.0,8,Layer 4,0.8119090125510662,0.1539713442185884,0.44145837295719936,0.1535151318255341
1.0,9,Layer 1,0.3788514711890904,0.47470909253909327,1.305240557512922,0.4733025439880561
1.0,9,Layer 4,0.6416217013535869,0.29952139705034025,0.8308158134886053,0.29863392429355695
1.0,10,Layer 1,0.6992185901386475,0.24402372912031134,0.720655208136616,0.24330069425957807
1.0,10,Layer 4,0.8203922055038425,0.16896638105031517,0.4675591327888156,0.1684657388208413
1.0,11,Layer 1,0.2422868575827832,0.5238512413579656,1.4598075305493987,0.5222990861200072
1.0,11,Layer 4,0.6572342559066429,0.21805556171175547,0.5817692216042053,0.2174094697383939
1.0,12,Layer 1,-0.1206653573335686,0.3763949535699379,1.0963142103241919,0.3752797068116975
1.0,12,Layer 4,0.1469573571245239,0.2781105858455552,0.8570885983963232,0.27728655266882196
1.0,13,Layer 1,0.5779858130407144,0.3473484969350977,1.000537742971883,0.34631931394124393
1.0,13,Layer 4,0.7277387641916611,0.24087281312373857,0.6762091563324828,0.24015911433092357
1.0,14,Layer 1,0.34332108038623255,0.49556384487214805,1.3359222891902964,0.4940955043265243
1.0,14,Layer 4,0.7367934341541809,0.18063826359544313,0.48983713226491676,0.1801030379342639
