realization,null_type,max_relative_margin_error,metric,n_regions,pearson_r,pearson_p,spearman_rho,spearman_p
46,strength_preserving,7.453347279433954e-16,OO_fraction,41,0.2939778774172952,0.062093855561965734,0.21621629838969617,0.17453704094230943
46,root_pair_preserving,8.413781306152055e-16,DCApost,41,0.17895720120679282,0.2629204595544303,0.1491289198606272,0.3520715244404651
46,root_pair_preserving,8.413781306152055e-16,OO_fraction,41,0.5377891220071618,0.0002876105837181655,0.3868269792126854,0.01247502331853234
47,strength_preserving,7.540112902881024e-16,DCApost,41,0.07411531793177195,0.6451375279208378,0.10662020905923347,0.507020068202238
47,strength_preserving,7.540112902881024e-16,OO_fraction,41,0.2953918750570855,0.060789892330234435,0.18047086196236733,0.2588377821959462
47,root_pair_preserving,7.640244470538712e-16,DCApost,41,0.15974492666901993,0.3184444743143401,0.06933797909407667,0.6666366428152829
47,root_pair_preserving,7.640244470538712e-16,OO_fraction,41,0.5705726380055289,9.817768782595389e-05,0.4432244429468689,0.0037047103992268577
48,strength_preserving,7.376586549023015e-16,DCApost,41,-0.13605260139448094,0.39634068416221296,-0.1374564459930314,0.3914392196622982
48,strength_preserving,7.376586549023015e-16,OO_fraction,41,0.2615098417365803,0.09862059474410421,0.16954173458285715,0.28927207735164095
48,root_pair_preserving,6.052537944362876e-16,DCApost,41,0.1134793293655259,0.47991564884472604,0.06062717770034844,0.7065119658337982
48,root_pair_preserving,6.052537944362876e-16,OO_fraction,41,0.5541915721589848,0.00017034375995740752,0.4216122404594872,0.006043059394310075
49,strength_preserving,6.956580981330541e-16,DCApost,41,-0.09375054578835519,0.5598808492371555,-0.1780487804878049,0.2653910704256567
49,strength_preserving,6.956580981330541e-16,OO_fraction,41,0.2889451810958553,0.06691624145220623,0.16080839773082792,0.3151911805308834
49,root_pair_preserving,8.907881506101158e-16,DCApost,41,0.08866076341739183,0.5814713011255531,-0.01672473867595819,0.917339238498545
49,root_pair_preserving,8.907881506101158e-16,OO_fraction,41,0.5287151637797881,0.00037994282086846557,0.38204024981598733,0.013705119142343996
50,strength_preserving,7.003655488779672e-16,DCApost,41,0.08405663638153443,0.6013176870123456,0.0372822299651568,0.8169881197910096
50,strength_preserving,7.003655488779672e-16,OO_fraction,41,0.33683354744333543,0.031282813103493186,0.21604193040712383,0.1748933308807841
50,root_pair_preserving,8.764524446110901e-16,DCApost,41,0.16442547373203842,0.30428378510064413,0.09668989547038329,0.5475850631403533
50,root_pair_preserving,8.764524446110901e-16,OO_fraction,41,0.4635714442343664,0.002269137840758127,0.294204820957261,0.06188308728306769
51,strength_preserving,6.094532490835051e-16,DCApost,41,-0.0528935457191196,0.742578958026462,-0.0186411149825784,0.9079061384762451
