epsilon,run,layer,energy_well_width,delta_u,n_dynamic_fc_windows
0.1,49,Layer 2,0.29494818631677155,2.0,169
0.1,0,Layer 3,0.12453056504844895,2.0,169
0.1,1,Layer 3,0.2490611300968979,2.0,169
0.1,2,Layer 3,0.37359169514534685,2.0,169
0.1,3,Layer 3,0.12453056504844895,2.0,169
0.1,4,Layer 3,0.4091718565877609,2.0,169
0.1,5,Layer 3,0.1779008072120698,2.0,169
0.1,6,Layer 3,0.7827635517331076,2.0,169
0.1,7,Layer 3,0.9962445203875916,2.0,169
0.1,8,Layer 3,0.0889504036060349,2.0,169
0.1,9,Layer 3,0.6582329866846588,2.0,169
0.1,10,Layer 3,0.160110726490863,2.0,169
0.1,11,Layer 3,0.21348096865448385,2.0,169
