Subject,RegionID,node,exclusion_band_sd,OO,retained_edge_fraction
12,15,GG,0.1,,0.7829051258531472
12,16,Hb,0.1,,0.7829051258531472
12,17,Hi,0.1,,0.7829051258531472
12,18,HR,0.1,,0.7829051258531472
12,19,OG,0.1,,0.7829051258531472
12,20,OB,0.1,,0.7829051258531472
12,21,OE,0.1,,0.7829051258531472
12,22,P,0.1,,0.7829051258531472
12,23,Pi,0.1,,0.7829051258531472
12,24,PT,0.1,0.5224591301665639,0.7829051258531472
12,25,PO,0.1,0.4867898646625257,0.7829051258531472
12,26,PrT,0.1,0.0,0.7829051258531472
12,27,R,0.1,,0.7829051258531472
12,28,SP,0.1,0.3015676451549351,0.7829051258531472
12,29,TeO,0.1,0.18055556827474922,0.7829051258531472
12,30,Th,0.1,0.0,0.7829051258531472
12,31,TL,0.1,,0.7829051258531472
12,32,TS,0.1,,0.7829051258531472
12,33,TG,0.1,,0.7829051258531472
12,34,VR,0.1,,0.7829051258531472
12,35,NX,0.1,0.0,0.7829051258531472
12,36,rMON,0.1,0.43979725924535384,0.7829051258531472
12,37,rCb,0.1,0.43771323218649894,0.7829051258531472
12,38,rMOS1,0.1,0.2152744526855247,0.7829051258531472
12,39,rMOS2,0.1,0.0,0.7829051258531472
12,40,rMOS3,0.1,0.21922755728401533,0.7829051258531472
12,41,rMOS4,0.1,0.2607417827403007,0.7829051258531472
12,42,rMOS5,0.1,0.2749605772288773,0.7829051258531472
12,43,rIPN,0.1,,0.7829051258531472
12,44,rIO,0.1,,0.7829051258531472
12,45,rHc,0.1,,0.7829051258531472
12,46,rRa,0.1,0.0,0.7829051258531472
12,47,rT,0.1,0.07188944907395313,0.7829051258531472
12,48,raRF,0.1,0.0,0.7829051258531472
12,49,rimRF,0.1,0.0,0.7829051258531472
12,50,rpRF,0.1,0.0,0.7829051258531472
12,51,rGG,0.1,,0.7829051258531472
12,52,rHb,0.1,,0.7829051258531472
12,53,rHi,0.1,,0.7829051258531472
12,54,rHR,0.1,,0.7829051258531472
12,55,rOG,0.1,,0.7829051258531472
12,56,rOB,0.1,,0.7829051258531472
12,57,rOE,0.1,,0.7829051258531472
12,58,rP,0.1,0.47779643936849175,0.7829051258531472
12,59,rPi,0.1,,0.7829051258531472
12,60,rPT,0.1,0.0,0.7829051258531472
12,61,rPO,0.1,0.5016800902888217,0.7829051258531472
12,62,rPrT,0.1,,0.7829051258531472
12,63,rR,0.1,,0.7829051258531472
12,64,rSP,0.1,,0.7829051258531472
12,65,rTeO,0.1,0.15943885267472285,0.7829051258531472
12,66,rTh,0.1,0.5099571869655545,0.7829051258531472
12,67,rTL,0.1,,0.7829051258531472
12,68,rTS,0.1,,0.7829051258531472
12,69,rTG,0.1,,0.7829051258531472
12,70,rVR,0.1,,0.7829051258531472
12,71,rNX,0.1,0.0,0.7829051258531472
12,0,MON,0.15,0.4759658103788974,0.7529751945419023
12,1,Cb,0.15,0.3145988805970149,0.7529751945419023
12,2,MOS1,0.15,0.0,0.7529751945419023
12,3,MOS2,0.15,0.0,0.7529751945419023
12,4,MOS3,0.15,0.287653681755317,0.7529751945419023
12,5,MOS4,0.15,0.315968527090038,0.7529751945419023
12,6,MOS5,0.15,0.3454444000795227,0.7529751945419023
12,7,IPN,0.15,,0.7529751945419023
12,8,IO,0.15,,0.7529751945419023
12,9,Hc,0.15,,0.7529751945419023
12,10,Ra,0.15,0.0,0.7529751945419023
12,11,T,0.15,0.2966954896490869,0.7529751945419023
12,12,aRF,0.15,0.0,0.7529751945419023
12,13,imRF,0.15,0.0,0.7529751945419023
12,14,pRF,0.15,0.0,0.7529751945419023
12,15,GG,0.15,,0.7529751945419023
12,16,Hb,0.15,,0.7529751945419023
12,17,Hi,0.15,,0.7529751945419023
12,18,HR,0.15,,0.7529751945419023
12,19,OG,0.15,,0.7529751945419023
12,20,OB,0.15,,0.7529751945419023
12,21,OE,0.15,,0.7529751945419023
12,22,P,0.15,,0.7529751945419023
12,23,Pi,0.15,,0.7529751945419023
12,24,PT,0.15,0.5289238455833561,0.7529751945419023
12,25,PO,0.15,0.48550759725356135,0.7529751945419023
12,26,PrT,0.15,0.0,0.7529751945419023
12,27,R,0.15,,0.7529751945419023
12,28,SP,0.15,0.27927509293680297,0.7529751945419023
12,29,TeO,0.15,0.1967092410950054,0.7529751945419023
12,30,Th,0.15,0.0,0.7529751945419023
12,31,TL,0.15,,0.7529751945419023
12,32,TS,0.15,,0.7529751945419023
12,33,TG,0.15,,0.7529751945419023
12,34,VR,0.15,,0.7529751945419023
12,35,NX,0.15,0.0,0.7529751945419023
12,36,rMON,0.15,0.44974701046005905,0.7529751945419023
12,37,rCb,0.15,0.4348523907493245,0.7529751945419023
12,38,rMOS1,0.15,0.2150696701330346,0.7529751945419023
12,39,rMOS2,0.15,0.0,0.7529751945419023
12,40,rMOS3,0.15,0.217249165385308,0.7529751945419023
12,41,rMOS4,0.15,0.2608189138255953,0.7529751945419023
